,ds,yhat,yhat_lower,yhat_upper
294,1993-10-22,64408597.916831546,63222809.35878837,65663276.08885622
295,1993-10-23,64418712.044494815,63155479.699273534,65636446.07939273
296,1993-10-24,64428686.55031481,63163260.5206512,65688549.1742084
297,1993-10-25,64438547.355057605,63179057.939149275,65632151.84428646
298,1993-10-26,64448307.396663055,63124116.72758267,65657386.11470953
299,1993-10-27,64457985.59855057,63240642.87262222,65830126.370249614
300,1993-10-28,64467601.94722909,63227240.81327905,65727545.2233159
301,1993-10-29,64481192.009024486,63161125.46131867,65683087.4884075
302,1993-10-30,64490800.301662035,63331810.48359037,65720407.37160565
303,1993-10-31,64500405.4613162,63302821.15138319,65849177.62147093
304,1993-11-01,64510047.07486155,63237455.71384816,65691850.254570894
305,1993-11-02,64519747.08775425,63264451.74782688,65791015.101985
306,1993-11-03,64529528.407629415,63355652.195820384,65814048.42355859
307,1993-11-04,64539409.77110146,63297057.25042919,65691964.02703743
308,1993-11-05,64553420.21255981,63281246.311640374,65801635.97893401
309,1993-11-06,64563592.55472819,63313135.34815878,65814077.85301314
310,1993-11-07,64573888.86048864,63293459.56080832,65745506.22266521
311,1993-11-08,64584327.709413014,63331470.857159995,65949914.115555994
312,1993-11-09,64594906.198081285,63408722.59878895,65842100.11110167
313,1993-11-10,64605619.26813808,63284254.32750053,65847310.65416931
314,1993-11-11,64616455.409086324,63378285.01714929,65868355.2495539
315,1993-11-12,64631412.0503309,63412038.845365494,65954795.092098475
316,1993-11-13,64642490.034862004,63418938.515626445,65868070.16888621
317,1993-11-14,64653620.08439396,63441937.01009365,65901517.18590775
318,1993-11-15,64664791.08828644,63445249.36828972,65993321.37893928
319,1993-11-16,64675973.083712325,63410321.29529319,65899054.8827188
320,1993-11-17,64687137.49987,63396925.993906766,65929892.90355138
321,1993-11-18,64698253.68350672,63436523.83683013,65975473.59662832
322,1993-11-19,64713304.99288753,63477839.44032103,66002711.84432812
323,1993-11-20,64724283.82844807,63498935.47060042,65977769.88475019
324,1993-11-21,64735118.48981376,63492657.28076537,66021462.99939568
325,1993-11-22,64745801.676076315,63458286.95828251,65854393.739017285
326,1993-11-23,64756313.486603945,63594772.44495458,66070229.267135195
327,1993-11-24,64766641.49064153,63494729.6924381,65916086.84034891
328,1993-11-25,64776776.88430926,63547775.66172702,66063193.20627778
329,1993-11-26,64790730.02942276,63602839.30854647,66044159.43732006
330,1993-11-27,64800524.75549248,63527007.45618262,66035985.63164795
331,1993-11-28,64810124.33324666,63650147.8983898,66047359.083811864
332,1993-11-29,64819558.960309915,63529213.476563096,66122836.52365702
333,1993-11-30,64828847.644514725,63689692.79282707,66105625.261036746
334,1993-12-01,64838017.08499965,63543292.250846654,66079323.7374652
335,1993-12-02,64847096.604410246,63568853.71953761,66115125.448204294
336,1993-12-03,64860132.46315928,63656158.84136562,66136117.51016069
337,1993-12-04,64869180.97440964,63686876.738918975,66059562.67838983
338,1993-12-05,64878233.365105145,63575449.54283031,66057043.14453365
339,1993-12-06,64887342.25923499,63546700.76461396,66115121.195683464
340,1993-12-07,64896542.70185361,63666248.59358774,66189503.48611304
341,1993-12-08,64905870.3535205,63615137.33196668,66277015.110060416
342,1993-12-09,64915355.93351322,63782289.09477458,66285778.19487701
343,1993-12-10,64929039.262510516,63703399.5674026,66327476.965121366
344,1993-12-11,64938962.33716862,63663245.51381239,66055980.6218433
345,1993-12-12,64949094.38917382,63655036.601574846,66169521.75952391
346,1993-12-13,64959458.80537406,63693619.63939747,66238671.121862784
347,1993-12-14,64970054.820938125,63708125.92755467,66181984.22624441
348,1993-12-15,64980876.601696886,63766264.77732026,66289463.59618108
349,1993-12-16,64991908.773826994,63786933.52456038,66180958.04749367
350,1993-12-17,65007141.725147136,63732137.44790617,66345612.527542785
351,1993-12-18,65018566.078428775,63748450.02677151,66322188.51163496
352,1993-12-19,65030099.25249721,63784181.29169694,66307580.018278256
353,1993-12-20,65041713.94709115,63714954.62139924,66297183.437835544
354,1993-12-21,65053361.42005436,63815157.06377221,66307105.55605164
355,1993-12-22,65064992.12807805,63910469.92827837,66448746.68266155
356,1993-12-23,65076552.74390364,63865715.78352944,66305339.16241617
357,1993-12-24,65092002.82996573,63863101.98975752,66424021.7946432
358,1993-12-25,65103310.52681458,63844626.076380186,66392375.70825887
359,1993-12-26,65114380.13348621,63877767.485340655,66443664.108184434
360,1993-12-27,65125181.38178345,63865975.35081726,66321775.21611034
361,1993-12-28,65135673.244677775,63869921.23299867,66506736.75371051
362,1993-12-29,65145824.828223765,63922378.95788315,66357149.16554875
363,1993-12-30,65155612.34533331,63881466.33616731,66400180.70058921
364,1993-12-31,65169035.4446277,63842965.120409,66468790.450577684
365,1994-01-01,65178112.25407298,63912719.32476868,66371609.56992919
366,1994-01-02,65186806.02616776,63944309.50949876,66402055.08338972
367,1994-01-03,65195153.204363585,63987679.79229996,66437518.9032033
368,1994-01-04,65203185.776414625,63932927.84533943,66354821.31780243
369,1994-01-05,65210950.49674225,64035829.79049238,66435141.825212374
370,1994-01-06,65218504.01529204,63931065.41379614,66497139.54237092
371,1994-01-07,65229927.23071173,63987948.38927557,66523510.124645196
372,1994-01-08,65237318.27652655,64061157.017087124,66584000.81955823
373,1994-01-09,65244717.07915979,63997769.075886354,66521295.63537385
374,1994-01-10,65252231.361311786,64052172.946028836,66561687.46418453
375,1994-01-11,65259957.01056216,63970244.36145159,66443191.02759469
376,1994-01-12,65267995.44834155,63999345.18393544,66508935.84990335
377,1994-01-13,65276447.08726991,64049148.98249885,66498738.48869094
378,1994-01-14,65289424.241290376,63982429.1552174,66437952.47922359
379,1994-01-15,65299042.93866712,63972689.13699227,66596245.34405997
380,1994-01-16,65309346.61171472,64059541.69724225,66561644.31383382
381,1994-01-17,65320431.564417064,64029840.9833978,66548811.51188076
382,1994-01-18,65332367.1572524,64196056.23678089,66446394.81084605
383,1994-01-19,65345213.35502545,64181344.22449547,66523719.38495274
384,1994-01-20,65359014.72718384,64034106.00296276,66663160.420977965
385,1994-01-21,65377814.257219926,64037360.11768633,66587820.67035604
386,1994-01-22,65393646.394199625,64088477.914556794,66589941.98018999
387,1994-01-23,65410462.29441938,64190250.67963415,66643470.060524985
388,1994-01-24,65428257.12023392,64199153.1821551,66662407.378163
389,1994-01-25,65446992.29382668,64188080.50932139,66706227.100114465
390,1994-01-26,65466615.3037645,64155384.07317231,66592781.719845064
391,1994-01-27,65487056.100637995,64117271.73911364,66671059.19010341
392,1994-01-28,65512243.38133098,64229332.40465912,66811524.63404616
393,1994-01-29,65534100.13547314,64261548.19636631,66817534.12086566
394,1994-01-30,65556471.34167624,64348386.25082352,66964565.26525378
395,1994-01-31,65579253.62083483,64350198.7336896,66800817.66231018
396,1994-02-01,65602319.68667937,64397582.116592556,66813152.33972721
397,1994-02-02,65625540.13750637,64367331.96815823,66909523.29042265
398,1994-02-03,65648781.57653292,64420677.08637092,66934887.82850772
399,1994-02-04,65675924.317896985,64416242.14523704,66940742.27315989
400,1994-02-05,65698859.01677217,64435474.599360935,66879031.49077319
401,1994-02-06,65721415.08446067,64380138.844501846,67039538.227554604
402,1994-02-07,65743490.67805343,64446046.55868544,66999738.195853174
403,1994-02-08,65764977.09665782,64551645.11694369,67022872.85453141
404,1994-02-09,65785780.12964383,64531536.72997061,67093741.90909083
405,1994-02-10,65805817.35555673,64511054.90323129,67120823.72292997
406,1994-02-11,65829034.66929386,64561745.11907489,67086183.58635345
407,1994-02-12,65847401.405428804,64625378.30337882,67242827.92537232
408,1994-02-13,65864836.9560286,64571182.51523095,67054532.638411865
409,1994-02-14,65881338.71712281,64524488.40776505,67173922.16900824
410,1994-02-15,65896904.24632063,64668582.249293804,67170093.01480354
411,1994-02-16,65911550.232136585,64618926.10848897,67105210.16690629
412,1994-02-17,65925307.33196348,64741728.300543465,67283759.35473448
413,1994-02-18,65942234.21625805,64750850.549697034,67269851.10482702
414,1994-02-19,65954410.2469192,64680919.7994449,67192708.17301075
415,1994-02-20,65965859.746890925,64707630.51200492,67213200.95535788
416,1994-02-21,65976677.75092725,64834123.26586372,67219205.17448896
417,1994-02-22,65986950.171474814,64759991.07826935,67251519.5970586
